commentaire;label
@IdilAbdillahi-cx1uh ❤❤❤❤❤osman;1
@polomono6326 Pwahahhaha le football c'est terminé.;0
@zhahahaha1 Pense à nettoyer ton appart de temps en temps Ousmane. En Allemagne tu n'as pas laissé que des bons souvenirs 😂;0
@isaacmouanga6785 ❤;1
@MauriceYengoVala-Ki-Sisa Sa femme n'a pas été remerciée. Bizarre ! Peut-être que sa femme ne l'a pas voulu !!!???!!.;1
"Dembele : humble drôle et gentil résultat ballon d’or""";1
@muchammadfaisal1031 ❤❤❤ From Indonesia Ousmane;1
@cheikhfall3964 La maman de Dembelé ne rit pas😅;0
@oussoustim Dembele ballon d'or 🎉🎉🎉🎉 totalement mérité ❤❤❤❤❤;1
"""@ffxivonline5864 Apparemment il n'est pas français, ça mère dit que c'est l'Afrique qui gagne 🤷 a mon avis si il n'avait jamais vécu en Europe il serait entrain de jouer sur des terrains boueux et inconnus du publique, c'est comme ça que ces gens nous remercie""";1
"""@Igris-e7t Le pauvre yamal peut être une prochaine fois, ce n'était pas son tour 😊""";0
@sunnahdiakho2086 j'ai failli pleure non j'ai pleure;1
"En ce sens le puissant dicton est vrai : """"La course, la victoire ou la couronne n'appartient pas au plus agile, au plus filou, au plus déluré et encore moins aux malhonnêtes joueurs égoïstes boycottant et fuyant du ballon leurs attaquants plus talentueux qu'eux, en vue de les éteindre"""".""";1
@donduciel148 Félicitations  Dembele.TU le mérites ce bellon d'or  Que Dieu te benisse davantage;1
"En ce sens le puissant dicton est vrai : """"La course, la victoire ou la couronne n'appartient pas au plus agile, au plus filou, au plus déluré et encore moins aux malhonnêtes joueurs égoïstes boycottant et fuyant du ballon leurs attaquants plus talentueux qu'eux, en vue de les éteindre"""". C'est donc la victoire de la justice qui a triomphé face à une grave injustice subie par Dembélé qui n'était jamais sollicité et recherché normalement  comme cela se fait habituellement envers les attaquants d'une équipe""";1
@Balthazar-sy5om BRAVO Usman;1
@john_mcclane10 Très émouvant;0
@thebestofyoutube1384 Il est vraiment exceptionnel !;1
@houdafarid6875 Le public chante quoi?;0
@UnCheminant C’était exceptionnel 🤍;1
"""@elias_abs Je suis le seul parisien à ne pas me lasser de cette vidéo ? Depuis Février qu’on le propagande, je suis tellement heureux, et bordel je ne peux pas m’empêcher d’avoir les larmes à chaque fois que je regarde, c’est la cérémonie la plus touchante que j’ai jamais vu, un des BO les plus mérités de ces dernières années, tu l’as fait Ousmane, tu es une légende du foot sache le ❤️💙""";1
"""@AimeeChantalMoughiama Bravo Dembelé,beau discours, beaucoup d'humilité,tu es le meilleur.""";1
@ZabsoreSalimata Allez dembele ❤❤❤paris;1
@Lahcen-x2s Peu importe Si c'était Yamin Yamal ou Hakimi qui sont marocains  mais pour Dembelé son épouse est marocaine . DONC le Maroc a remporté le BALLON D'OR en 2025 . Bravo le Maroc qui va organiser la coupe du monde en 2030 InChaaAllah;1
"""@Hellolesmoutons Va jouer au ballon, traître !""";0
@AmneyAitmenguellet Tellement 😂😂;0
@josephpischedda3043 HAHAHA LES AFRICAINS VONT FAIRE LA FETE UN BON MOMMENT;0
@thiernosonko4534 Ahhhhhhhh DEMBELE ch8 hyper content walah😊;1
@freddymuka8317 Denbele ❤❤🎉😢😮😊;1
@guimbetraore Félicitations frère Ousmane❤❤❤;1
"Quelle honte pour cette pseudo cérémonie truquée☹️""";1
@Ljey-dz4nv Revoit les critères pour le ballon d'or et reviens te plaindre après le footix merci au revoir 😂;1
@Ab2oulFall Toi aussi tu est exceptionnel;1
@safiyaba2043 Bravooooo👏👏👏👏👏👏👏👏💫💫💫;1
"""@safiyaba2043 Félicitations Ousmane,tu mérites amplement 🎉🎉🎉🎉🎉""";1
@LoicExtra TOP;1
@fabricelavigne1967 Très beau discours Dembelé respect pour toi et t'a famille bravo pour Évreux s'a fait énormément plaisir allez PSG.... bravo pour cette saison inoubliable......😊😊😊;1
"""@adementia2872 En un mot """"exceptionnel""""""";1
@Lalla.Z_Al-idrissi5640 HAKIMI LE MÉRITAIT AUTANT;0
@JulienLeBihan-o2u C'était mérité bravo Ousmane Dembelé 😊;1
@CheikKourouma Ouais mais que c’est merité;1
@futurvigile Bravo l'Afrique! Les 🧑🏼🧑🏻‍🦰🧑🏻👩🏼👩🏻‍🦰👩🏻 d'Afrique sont venus vivre en 🇨🇵!;1
"""@AkaminaX He doesn’t deserve it at all, he relies on other players to give him ball ⚽️ to score. He’s selfish and he wanna score that’s it. Lot of players deserve it more than him.. shame""";0
"""@Djibril-0710 La ferme et la joue en face. C’est peut-être des fois il faisait un peu l’égoïste mais il faisait beaucoup de passe et en plus lui il faisait beaucoup d’efforts défensif et de retour défensif et pendant la finale de la ligue des champions il a fait que des retours défensif il donner sa vie sur le terrain, il il a joué collectif, il aimerait ce ballon d’or, il dit pas que le mérite pas Hakimi aussi le méritemais on peut avoir quelqu’un Sinker""";1
@Ananisbel ​ @Djibril-0710  completement d'accord avec toi;0
@AzNar93 Trop fière de lui ! 🙃;0
@kevinehui06 Félicitations à Dembélé. Tu le mérites🎉🎉;1
@BouzMed-n6j Bravo la France et paris saint germain ont eu le ballon d'or mais ce qui n'est pas juste c'est que hakimi classé 6 ème en plus il y a journaliste qui parle Mal de hakimi qu'elle horreur;1
@Zakjjvvjjvvkb Quelle honte serieu hakimi est 10 fois meilleur que lui c est devenu n importe quoi;0
@Ljey-dz4nv Qu'on le veuille ou non c'est les finisseur qui passent avant tout le reste et c'est pas nouveau mec c'est un peu tard pour se plaindre;0
@FatoumataDiawara-y9e 🎉🎉🎉🎉❤❤❤❤😊😊😊;1
@Axel-ne8rp EXCEPTIONNEL;1
"Quelle honte  Hakimi doit quitter le PSG tout à fait comme Donna Roma qu on a remercie d une façon honteuse !""";1
"""@amazigh-x4c il y a 20 ans, il ne serait même pas parmi les 20 premiers prétendants, il y a clairement une baisse de niveau""";0
@souben5290 RAPHINHA DESERVDIT MORE THEN DEMBELE 5TH PLACE IS ROBBERY STOLERS;0
"Je ne suis pas contre Le sage Dembele, mais l’organisation française c’est la honte.""";0
@FKrich-x6c Kimi;0
"وهو من يستحقها""";0
@valille5989 Les non francophones comment ils fint pour comprendre. Ya une interprétation instantanée?;0
@andimuhammadakbar2131 Ewako;0
@boubaibrahim5916 11:59 qui est-ce ?;0
@best93Jean Bravo Ousmane le musulman ❤❤❤❤❤❤❤❤❤❤❤;1
"✌️👍👌""";1
@emiliegrisard2810 Bravo 🎉 oussman❤;1
@mlclogane ET OUSEMANE BALLON D’OR 🎉🎉;1
@odnlex7979 Le football va vite bravo ousmane;1
"""@ReineNehanda-d1u Dembelé, Mbappé, deux frères, s est l Afrique qui gagne 🦾🦾🦾""";0
@Gamer77du75 Bro this is réal ! 💀;0
"""@ReineNehanda-d1u Dembelé, Mbappé, deux frères, s est l Afrique qui gagne 🦾🦾🦾""";0
@AB-wp3uo 🤢🤢🤢🤮🤮🤮 alors reprend les et avec toutes leurs familles. pk il y a jamais eu d’équipe africaine gagner la coupe du monde 🤣🤣🤣🤣 allez va faire dodo;0
@lamatriceprogrammeobsolete9248 babouche et couscous;0
